iter	Passed	Remaining
413	3449	4882
414	3456	4872
415	3464	4863
416	3471	4853
417	3478	4843
418	3486	4834
419	3493	4824
420	3501	4815
421	3509	4806
422	3516	4797
423	3524	4787
424	3531	4777
425	3540	4770
426	3548	4761
427	3555	4751
428	3562	4741
429	3570	4733
430	3577	4723
431	3585	4714
432	3594	4706
433	3605	4701
434	3616	4696
435	3624	4688
436	3632	4679
437	3640	4670
438	3647	4661
439	3655	4652
440	3663	4643
441	3671	4634
442	3678	4625
443	3686	4616
444	3695	4608
445	3702	4599
446	3709	4589
447	3717	4580
448	3724	4570
449	3732	4561
450	3740	4553
451	3750	4547
452	3758	4538
453	3766	4529
454	3773	4519
455	3780	4510
456	3788	4500
457	3795	4491
458	3804	4483
459	3812	4475
460	3820	4466
461	3827	4457
462	3835	4448
463	3841	4438
464	3849	4428
465	3856	4419
466	3864	4410
467	3871	4401
468	3879	4391
469	3886	4382
470	3893	4373
471	3902	4365
472	3910	4356
473	3918	4348
474	3925	4339
475	3933	4330
476	3940	4320
477	3948	4311
478	3955	4302
479	3962	4293
480	3969	4283
481	3977	4274
482	3986	4266
483	3994	4258
484	4002	4250
485	4010	4241
486	4018	4232
487	4025	4223
488	4032	4214
489	4040	4205
490	4047	4195
491	4054	4186
492	4062	4177
493	4070	4168
494	4077	4159
495	4084	4150
496	4091	4141
497	4099	4132
498	4107	4124
499	4115	4115
500	4122	4105
501	4130	4097
502	4138	4088
503	4145	4079
504	4152	4070
505	4160	4061
506	4167	4052
507	4174	4043
508	4181	4033
509	4188	4024
510	4196	4015
511	4204	4007
512	4211	3998
513	4219	3989
514	4227	3981
515	4235	3972
516	4242	3963
517	4250	3954
518	4257	3945
519	4264	3936
520	4272	3927
521	4279	3918
522	4287	3909
523	4295	3902
524	4303	3893
525	4309	3883
526	4317	3875
527	4326	3867
528	4333	3858
529	4340	3849
530	4348	3840
531	4355	3831
532	4362	3822
533	4370	3814
534	4378	3805
535	4386	3797
536	4395	3789
537	4403	3781
538	4411	3773
539	4420	3765
540	4427	3756
541	4435	3748
542	4444	3740
543	4451	3731
544	4459	3722
545	4466	3714
546	4474	3705
547	4482	3696
548	4489	3688
549	4496	3678
550	4504	3670
551	4511	3661
552	4519	3652
553	4526	3643
554	4535	3636
555	4545	3629
556	4553	3621
557	4562	3613
558	4569	3604
559	4576	3595
560	4583	3586
561	4591	3578
562	4599	3570
563	4608	3562
564	4617	3555
565	4625	3546
566	4632	3537
567	4639	3528
568	4647	3520
569	4655	3512
570	4666	3505
571	4674	3497
572	4682	3489
573	4691	3481
574	4698	3472
575	4705	3463
576	4712	3454
577	4721	3447
578	4730	3439
579	4738	3431
580	4746	3423
581	4754	3414
582	4761	3405
583	4769	3397
584	4777	3389
585	4785	3380
586	4793	3372
587	4802	3365
588	4810	3356
589	4817	3347
590	4824	3338
591	4831	3329
592	4839	3321
593	4846	3312
594	4854	3304
595	4863	3296
596	4870	3287
597	4877	3279
598	4885	3270
599	4894	3262
600	4903	3255
601	4911	3247
602	4919	3238
603	4927	3230
604	4934	3221
605	4946	3216
606	4957	3209
607	4974	3207
608	4984	3200
609	4993	3192
610	5002	3184
611	5009	3176
612	5017	3167
613	5024	3158
614	5032	3150
615	5039	3141
616	5047	3132
617	5054	3124
618	5062	3116
619	5069	3107
620	5077	3098
621	5084	3089
622	5093	3082
623	5100	3073
624	5108	3065
625	5116	3056
626	5124	3048
627	5131	3039
628	5139	3031
629	5146	3022
630	5153	3013
631	5164	3006
632	5174	2999
633	5183	2992
634	5195	2986
635	5205	2979
636	5214	2971
637	5224	2964
638	5232	2956
639	5240	2947
640	5248	2939
641	5256	2931
642	5264	2922
643	5271	2914
644	5279	2905
645	5286	2896
646	5294	2888
647	5301	2879
648	5308	2871
649	5315	2862
650	5323	2853
651	5331	2845
652	5339	2837
653	5346	2828
654	5354	2820
655	5361	2811
656	5368	2802
657	5375	2793
658	5382	2785
659	5391	2777
660	5398	2768
661	5406	2760
662	5413	2751
663	5420	2743
664	5428	2734
665	5435	2726
666	5444	2718
667	5451	2709
668	5458	2700
669	5465	2691
670	5472	2683
671	5480	2674
672	5487	2666
673	5494	2657
674	5502	2649
675	5510	2641
676	5517	2632
677	5526	2624
678	5534	2616
679	5542	2608
680	5550	2599
681	5558	2591
682	5565	2583
683	5572	2574
684	5579	2565
685	5588	2557
686	5596	2549
687	5604	2541
688	5612	2533
689	5619	2524
690	5627	2516
691	5634	2507
692	5642	2499
693	5649	2490
694	5656	2482
695	5664	2473
696	5672	2465
697	5680	2457
698	5688	2449
699	5698	2442
700	5706	2434
701	5713	2425
702	5721	2417
703	5728	2408
704	5736	2400
705	5743	2391
706	5750	2383
707	5758	2374
708	5767	2367
709	5775	2358
710	5782	2350
711	5790	2342
712	5797	2333
713	5805	2325
714	5812	2316
715	5820	2308
716	5828	2300
717	5837	2292
718	5845	2284
719	5855	2276
720	5862	2268
721	5870	2260
722	5878	2252
723	5886	2243
724	5893	2235
725	5901	2227
726	5909	2218
727	5917	2210
728	5924	2202
729	5932	2194
730	5939	2185
731	5946	2177
732	5953	2168
733	5961	2160
734	5968	2151
735	5975	2143
736	5984	2135
737	5991	2127
738	6000	2119
739	6008	2110
740	6015	2102
741	6023	2094
742	6031	2086
743	6038	2077
744	6046	2069
745	6054	2061
746	6061	2053
747	6069	2044
748	6077	2036
749	6084	2028
750	6091	2019
751	6099	2011
752	6106	2003
753	6114	1994
754	6122	1986
755	6129	1978
756	6136	1969
757	6144	1961
758	6151	1953
759	6158	1944
760	6165	1936
761	6173	1928
762	6182	1920
763	6190	1912
764	6198	1903
765	6205	1895
766	6212	1887
767	6219	1878
768	6226	1870
769	6234	1862
770	6243	1854
771	6251	1846
772	6258	1837
773	6266	1829
774	6273	1821
775	6281	1813
776	6288	1804
777	6295	1796
778	6304	1788
779	6314	1781
780	6324	1773
781	6335	1766
782	6345	1758
783	6356	1751
784	6367	1744
785	6379	1736
786	6387	1728
787	6395	1720
788	6402	1712
789	6410	1704
790	6418	1695
791	6425	1687
792	6432	1679
793	6440	1670
794	6449	1663
795	6457	1654
796	6463	1646
797	6470	1638
798	6478	1629
799	6486	1621
800	6494	1613
801	6501	1605
802	6509	1596
803	6516	1588
804	6524	1580
805	6531	1572
806	6540	1564
807	6547	1555
808	6554	1547
809	6562	1539
810	6569	1531
811	6577	1522
812	6588	1515
813	6595	1507
814	6603	1498
815	6610	1490
816	6617	1482
817	6624	1473
818	6632	1465
819	6640	1457
820	6648	1449
821	6655	1441
822	6665	1433
823	6673	1425
824	6681	1417
825	6688	1409
826	6696	1400
827	6705	1392
828	6712	1384
829	6719	1376
830	6727	1368
831	6734	1359
832	6742	1351
833	6749	1343
834	6757	1335
835	6764	1326
836	6772	1318
837	6780	1310
838	6788	1302
839	6795	1294
840	6803	1286
841	6810	1277
842	6817	1269
843	6825	1261
844	6833	1253
845	6843	1245
846	6850	1237
847	6857	1229
848	6865	1221
849	6872	1212
850	6880	1204
851	6887	1196
852	6894	1188
853	6902	1180
854	6909	1171
855	6917	1163
856	6924	1155
857	6931	1147
858	6938	1138
859	6946	1130
860	6954	1122
861	6961	1114
862	6969	1106
863	6979	1098
864	6989	1090
865	7001	1083
866	7011	1075
867	7021	1067
868	7029	1059
869	7041	1052
870	7049	1044
871	7057	1035
872	7064	1027
873	7072	1019
874	7080	1011
875	7088	1003
876	7095	995
877	7102	986
878	7111	978
879	7118	970
880	7126	962
881	7133	954
882	7141	946
883	7149	938
884	7156	929
885	7164	921
886	7172	913
887	7180	905
888	7187	897
889	7199	889
890	7210	882
891	7218	874
892	7227	865
893	7236	858
894	7243	849
895	7250	841
896	7257	833
897	7265	825
898	7272	817
899	7279	808
900	7286	800
901	7294	792
902	7302	784
903	7309	776
904	7316	768
905	7323	759
906	7331	751
907	7338	743
908	7345	735
909	7352	727
910	7360	719
911	7370	711
912	7381	703
913	7391	695
914	7400	687
915	7410	679
916	7420	671
917	7430	663
918	7440	655
919	7450	647
920	7465	640
921	7473	632
922	7481	624
923	7488	615
924	7495	607
925	7502	599
926	7510	591
927	7517	583
928	7525	575
929	7532	566
930	7540	558
931	7549	550
932	7556	542
933	7564	534
934	7572	526
935	7580	518
936	7587	510
937	7595	502
938	7602	493
939	7609	485
940	7618	477
941	7625	469
942	7634	461
943	7644	453
944	7651	445
945	7659	437
946	7666	429
947	7674	420
948	7681	412
949	7688	404
950	7696	396
951	7704	388
952	7711	380
953	7719	372
954	7726	364
955	7735	356
956	7743	347
957	7750	339
958	7759	331
959	7767	323
960	7775	315
961	7782	307
962	7790	299
963	7797	291
964	7804	283
965	7814	275
966	7823	266
967	7831	258
968	7838	250
969	7846	242
970	7854	234
971	7861	226
972	7869	218
973	7876	210
974	7883	202
975	7891	194
976	7899	185
977	7906	177
978	7915	169
979	7922	161
980	7930	153
981	7939	145
982	7946	137
983	7955	129
984	7963	121
985	7971	113
986	7978	105
987	7986	96
