iter	Logloss
0	0.676116755
1	0.6590977819
2	0.6489633817
3	0.6405396938
4	0.6302821177
5	0.6181012099
6	0.6110362062
7	0.6011900335
8	0.5949244077
9	0.5868257387
10	0.5794529136
11	0.5749649747
12	0.5666876046
13	0.5630667511
14	0.5550116288
15	0.5474221219
16	0.5412021871
17	0.5344550204
18	0.5308023954
19	0.5248817877
20	0.5196698258
21	0.5137326613
22	0.508997229
23	0.5030645724
24	0.4986183011
25	0.4947246274
26	0.4917283685
27	0.4898380808
28	0.4871146755
29	0.4833754478
30	0.4807050487
31	0.4761370129
32	0.4730315853
33	0.4700889675
34	0.4667861432
35	0.4622367362
36	0.4594192304
37	0.4548983329
38	0.4508909791
39	0.4479106617
40	0.4430782811
41	0.4391912546
42	0.4361124704
43	0.4316525302
44	0.4282099362
45	0.4248341101
46	0.4224401532
47	0.418637403
48	0.4148294755
49	0.4111577059
50	0.4085195983
51	0.4057210317
52	0.4018047292
53	0.4010407621
54	0.3973246765
55	0.394786675
56	0.393087697
57	0.391634945
58	0.3899197153
59	0.3887999655
60	0.3856086402
61	0.3832805285
62	0.3811388467
63	0.3793511512
64	0.3782316452
65	0.3764045359
66	0.372919254
67	0.3722238732
68	0.3709040317
69	0.3692243999
70	0.3683588477
71	0.3667814391
72	0.3649283412
73	0.3637748343
74	0.3621217547
75	0.360819999
76	0.3599194245
77	0.3580117816
78	0.3559682168
79	0.3555673383
80	0.353560794
81	0.3524356267
82	0.3512430515
83	0.349038723
84	0.3477982712
85	0.3470697898
86	0.34579583
87	0.344309165
88	0.3439767672
89	0.342948722
90	0.3421097627
91	0.3408043059
92	0.3400361676
93	0.3392970455
94	0.3383978838
95	0.3366907296
96	0.3358000509
97	0.3346746072
98	0.3341386489
99	0.3330268349
100	0.3327470928
101	0.3324789827
102	0.3315546007
103	0.3295106174
104	0.3292444231
105	0.3289953666
106	0.3280193548
107	0.3275883574
108	0.3270218484
109	0.3258858775
110	0.3250623768
111	0.3237021945
112	0.3233797942
113	0.321973905
114	0.3209932103
115	0.320759396
116	0.3180181095
117	0.3177425634
118	0.3169770673
119	0.3162800379
120	0.3159651276
